question_id,text,
1,こちらはサンプルエリア１:質問１のヒントを表示しています。,
2,こちらはサンプルエリア１:質問２のヒントを表示しています。,
3,こちらはサンプルエリア１:質問３のヒントを表示しています。,
4,こちらはサンプルエリア１:質問４のヒントを表示しています。,
5,こちらはサンプルエリア１:質問５のヒントを表示しています。,
6,こちらはサンプルエリア２:質問１のヒントを表示しています。,
7,こちらはサンプルエリア２:質問２のヒントを表示しています。,
8,こちらはサンプルエリア２:質問３のヒントを表示しています。,
9,こちらはサンプルエリア２:質問４のヒントを表示しています。,
10,こちらはサンプルエリア２:質問５のヒントを表示しています。,
11,こちらはサンプルエリア３:質問１のヒントを表示しています。,
12,こちらはサンプルエリア３:質問２のヒントを表示しています。,
13,こちらはサンプルエリア３:質問３のヒントを表示しています。,
14,こちらはサンプルエリア３:質問４のヒントを表示しています。,
15,こちらはサンプルエリア３:質問５のヒントを表示しています。,
16,こちらはサンプルエリア４:質問１のヒントを表示しています。,
17,こちらはサンプルエリア４:質問２のヒントを表示しています。,
18,こちらはサンプルエリア４:質問３のヒントを表示しています。,
19,こちらはサンプルエリア４:質問４のヒントを表示しています。,
20,こちらはサンプルエリア４:質問５のヒントを表示しています。,
21,こちらはサンプルエリア５:質問１のヒントを表示しています。,
22,こちらはサンプルエリア５:質問２のヒントを表示しています。,
23,こちらはサンプルエリア５:質問３のヒントを表示しています。,
24,こちらはサンプルエリア５:質問４のヒントを表示しています。,
25,こちらはサンプルエリア５:質問５のヒントを表示しています。,
